barcode,style,tops_fit,bottoms_fit,sleeve_type,pattern,more_attributes,brand,image_path
48346601050101,feminine,,,,diagonal-stripes; stripes,wrap,Xandres Gold,images\483466_01_90009-01-1566_01.jpg
23302404020101,casual,,slim-bottoms,,,,Doris Streich,images\233024_04_609beec80b03880012611a22.jpg
49194501030101,feminine,,,straight-sleeve,animal-print,,Xandres,images\491945_01_14092-01-1915_01.jpg
50062101040101,casual,oversized-tops,,straight-sleeve,stripes,,Marc Cain,images\500621_01_637b9febef53450010de7266.jpg
50782201050101,casual,regular-fit-tops,,straight-sleeve,geometric,buttons,GERRY WEBER,images\507822_01_64f01017f24f750011208c30.jpg
49442001030101,casual,,straight-fit-bottoms,,,,Hampton Bays,images\494420_01_WI22-beeldenklanten-campagne-zndrlogo5.jpg
50566401050101,modest,,,,fruits; leaf,belted,Caroline Biss,images\505664_01_3774-69.jpg
48523101030101,casual,fitted-tops,,,chevron; net,,King Louie,images\485231_01_8553_07117001_1.jpg
50558101050101,casual,,,,floral; leaf,,Mayerline,images\505581_01_mayerline-gebloemde-a-lijnrok-in-crepe_S2023CHAIA17375560-1.jpg
51232501020101,casual,oversized-tops,,straight-sleeve,marled,zipper,ESPRIT,images\512325_01_64c5d917b2c25f00112f1816.jpg
50391702080101,casual,regular-fit-tops,,,plain,,Verpass,images\503917_02_3960-1.jpg
50306401030101,feminine,,,straight-sleeve,floral; leaf,,King Louie,images\503064_01_08075001_2.jpg
49059001020101,feminine,,,straight-sleeve,floral; paisley,,ONLY,images\490590_01_62a93beaa95ae10012e3f8ce.jpg
48961301020101,casual,,straight-fit-bottoms,,plain,,Scotch & Soda,images\489613_01_Large-22153988-FNT.jpg
50768401020101,casual,fitted-tops,,straight-sleeve,bleached,buttons; cargo,Guess,images\507684_01_W3YN30_D4MSL_AVPR_1.jpg
50951301030101,business,,slim-bottoms,,glen-check; tartan,,Kocca,images\509513_01_456826-1.jpg
48609901080101,casual,regular-fit-tops,,,floral; stripes,,Via Appia Due,images\486099_01_61b0db4f8e393000158968d8.jpg
50265801050101,casual,,straight-fit-bottoms,,geometric; shapes,drawstring,Xandres Gold,images\502658_01_89913-11-2525_01.jpg
48958001020101,casual,oversized-tops,,,horizontal-stripes,,Scotch & Soda,images\489580_01_62b20696144d390011372c5a.jpg
48441001020101,casual,regular-fit-tops,,,plain,,Kocca,images\484410_01_P22PMA6775AAUN0000_10010.jpg
50683701050101,feminine,,,straight-sleeve,floral; leaf,,Part Two,images\506837_01_30306061_302260_400.jpg
50614401040101,casual,regular-fit-tops,,straight-sleeve,,buttons,Street One,images\506144_01_643dad3c60083c001192e133.jpg
50134701040101,casual,,,,floral; leaf,,CKS,images\501347_01_sawina-midirok-5.jpg
47757106050101,casual,regular-fit-tops,,,plain,,GERRY WEBER,images\477571_06_61fe800d9747cc00115bbf90.jpg
49826201270101,casual,,straight-fit-bottoms,,plain,,Scotch & Soda,images\498262_01_63a07a3c77b1740011d4fa6d.jpg
44567802050101,casual,,,straight-sleeve,,,Caroline Biss,images\445678_02_01-12.jpg
49669201050101,casual,oversized-tops,,,animals; shapes; text-print,,Rabe,images\496692_01_62fa10a6febfb200108c6127.jpg
48781501050101,casual,,,,,pleated,GERRY WEBER,images\487815_01_627af1e923d50c001244fc33.jpg
50831401080101,casual,,skinny-bottoms,,glitter,,Doris Streich,images\508314_01_6440cbc060083c0011997007.jpg
51171801030101,casual,regular-fit-tops,,straight-sleeve,,,Xandres,images\511718_01_61006-01-1980_01.jpg
49039701410101,casual,,straight-fit-bottoms,,plain,,Yoek,images\490397_01_1304795-210-MF.jpg
50198603050101,casual,regular-fit-tops,,,animals; fruits,embroidered,Bianca,images\501986_03_636ac81415252c00117ac32d.jpg
47965502060101,feminine,,straight-fit-bottoms,,plain,drawstring,Joseph Ribkoff,images\479655_02_638fda4d363662001134a44b.jpg
48466703020101,casual,oversized-tops,,straight-sleeve,plain,drawstring,Lyle & Scott,images\484667_03_MLW1604V_Z129_1.jpg
47923601010101,feminine,,,straight-sleeve,floral; leaf; natural,belted,RAINKISS,images\479236_01_rainkiss_digi_spring_camo_2.jpg
51074801010101,business,,slim-bottoms,,glen-check; windowpane,,RAPHAELA by BRAX,images\510748_01_64d2a86f1052df001154da34.jpg
48429802030101,casual,regular-fit-tops,,,,ruffled,ESPRIT,images\484298_02_622acb7b7d45f600122ba713.jpg
50917902020101,minimalism,,,straight-sleeve,vertical-stripes,,ONLY,images\509179_02_618396e39d6c51001300c695.jpg
49761801050101,casual,regular-fit-tops,,straight-sleeve,quilted,buttons,GERRY WEBER,images\497618_01_63ca0bc14126a000114ca6ff.jpg
50831501080101,casual,regular-fit-tops,,straight-sleeve,leaf; natural,,Doris Streich,images\508315_01_6440ca996acad80011ae9278.jpg
50093501020101,casual,,straight-fit-bottoms,,plain,,BRAX,images\500935_01_63d859e11914550011f3494b.jpg
47933101040101,casual,regular-fit-tops,,flutter-sleeve,fruits; leaf,,Betty Barclay,images\479331_01_616ed3dc46abed00114d61cc.jpg
51620102080101,casual,bodycon-tops,,straight-sleeve,,embroidered,Doris Streich,images\516201_02_6451e01a2c45d5001157538b.jpg
49894801040101,casual,,slim-bottoms,,plain,,Four Roses,images\498948_01_6057PINK30235GRWEBSHOP2.jpg
49587101030101,feminine,,,flutter-sleeve,paisley,pleated,Smashed Lemon,images\495871_01_23029_998_1.jpg
48611801050101,feminine,,,,,,Mayerline,images\486118_01_mayerline-doorknooprok-in-seersucker_S2022META5309010-V.jpg
50960601030101,casual,,,,plain,,CKS,images\509606_01_134179_RIMIDI_GSL.png
51083801030101,modest,,slim-bottoms,,plain,,Guess,images\510838_01_W3BR26Z3AE0_F02T.png
48284201020101,feminine,,,straight-sleeve,floral; leaf,,Second Female,images\482842_01_55897-5089_12_700x.jpg
47951201040101,feminine,,,puff-sleeve,animal-print,,Fabienne Chapot,images\479512_01_Charlie-Dress_Leopardo_F.jpg
48618101020101,casual,regular-fit-tops,,dolman-sleeve,horizontal-stripes,,River Woods,images\486181_01_rl22s-c9010_a-000_be_f.jpg
48352601030101,feminine,,,puff-sleeve,floral,,Xandres,images\483526_01_60756-01-1135_01.jpg
48411301040101,casual,regular-fit-tops,,straight-sleeve,,buttons,Caroline Biss,images\484113_01_01-22b.jpg
49826802020101,casual,regular-fit-tops,,,plain,,Scotch & Soda,images\498268_02_63a073d8fcadd10011aaf34e.jpg
48409501040101,casual,,,,retro,,Caroline Biss,images\484095_01_03-35c.jpg
51165903020101,casual,oversized-tops,,straight-sleeve,vertical-stripes,,Xandres,images\511659_03_28826-01-9220_01.jpg
50497901020101,casual,regular-fit-tops,,,plain,,Scotch & Soda,images\504979_01_63a079a0a0c66a0011c83ea9.jpg
51193101050101,casual,oversized-tops,,flare-sleeve,vertical-stripes,drawstring,Marie Méro,images\511931_01_490056_ws1_lr.jpg
51128401020101,casual,oversized-tops,,dolman-sleeve,chevron,,Liu Jo Sport,images\511284_01_Liu-Jo_FallWinter-2023_Ltivoryltgold_TF3309MA07GA7280.jpg
51162801030101,casual,oversized-tops,,straight-sleeve,marled,buttons,Scotch & Soda,images\511628_01_Hires-23166859-FNT.jpg
50084603020101,business,,slim-bottoms,,plain,,RAPHAELA by BRAX,images\500846_03_63d859019589d30011402df4.jpg
49024002050101,casual,oversized-tops,,dolman-sleeve,plain,,GERRY WEBER,images\490240_02_6271e099307cfd0011523959.jpg
50759301030101,feminine,,,straight-sleeve,floral,,CKS,images\507593_01_salomedo-midi-jurk.jpg
50315801030101,casual,,oversized-bottoms,,plain,,Heart Mind,images\503158_01_2022_10_04_Heart_MIND_Looks65385.jpg
50339601040101,casual,regular-fit-tops,,,chevron; geometric,,Caroline Biss,images\503396_01_04-04d.jpg
49177701030101,punk,regular-fit-tops,,straight-sleeve,plain,zipper,Xandres,images\491777_01_60873-01-0040_01.jpg
50451901030101,casual,,,,abstract,,March23,images\504519_01_A_DSCF8453copy.jpg
50750301030101,casual,oversized-tops,,straight-sleeve,horizontal-stripes; shapes,,CKS,images\507503_01_pastinac-trui.jpg
51354001360101,casual,,straight-fit-bottoms,,,,EVOKED VILA,images\513540_01_6373765581fdd10011dfc3a6.jpg
48529001080101,casual,regular-fit-tops,,,,,Tom Tailor,images\485290_01_1030140_10336_7.jpg
47748702030101,casual,regular-fit-tops,,,,,Creenstone,images\477487_02_csn0380221-8155-1.jpg
50668401040101,casual,,straight-fit-bottoms,,,,Marc Cain,images\506684_01_64eb697e2a32af001123bf04.jpg
50121501020101,casual,regular-fit-tops,,,abstract,,Liu Jo Sport,images\501215_01_8055130403889---TA3194J699810604-I-AF-N-R-1-N-1.jpg
48530401010101,casual,regular-fit-tops,,straight-sleeve,plain,buttons,Black Rose,images\485304_01_WhatsApp-Image-2022-02-09-at-19-32-23-2-.jpeg
48806901050101,bohemian,regular-fit-tops,,straight-sleeve,windowpane,buttons; cargo,Rabe,images\488069_01_61e5940a4f7b6d0011800a74.jpg
48466701020101,casual,regular-fit-tops,,straight-sleeve,plain; varsity-striped,drawstring,Lyle & Scott,images\484667_01_MLW1604V_W608_1.jpg
50799401020101,casual,regular-fit-tops,,,quilted,zipper,Tommy Hilfiger,images\507994_01_646b8cfaec5b030011ae4b19.jpg
49022301020201,feminine,,,puff-sleeve,paisley,,Tommy Hilfiger,images\490223_01_Schermafbeelding-2022-05-31-162812.jpg
49864301040101,casual,regular-fit-tops,,,geometric; shapes,,JustEve,images\498643_01_2022_10_21_Just_Eve_Studio79042.jpg
47755201050101,feminine,,,,,pleated,GERRY WEBER,images\477552_01_6171f4a1d3be360012543e8c.jpg
48902401050101,casual,,wide-bottoms,,plain,,Part Two,images\489024_01_black-lissaspw-broek.jpg
49011601070101,casual,,slim-bottoms,,plain,,ONLY Carmakoma,images\490116_01_620670d909a0000011108c5e.jpg
50119401030101,casual,,slim-bottoms,,plain,,Liu Jo Sport,images\501194_01_8055130257710---TA3192TS42322222-I-AF-N-R-1-N.jpg
50210402080101,business,regular-fit-tops,,straight-sleeve,bird's-eye,cargo,Frapp,images\502104_02_63887302b7ba6d0011af4711.jpg
49108401040101,modest,,,,glen-check,,Caroline Biss,images\491084_01_4717-39.jpg
50792301020101,casual,regular-fit-tops,,straight-sleeve,,cargo,Geisha,images\507923_01_649b5fbc286d2a00101ecf0c.jpg
50058901040101,casual,regular-fit-tops,,,,keyhole,Marc Cain Sports,images\500589_01_63f2434c5db7ae0010ee59d5.jpg
49015801020101,casual,oversized-tops,,flutter-sleeve,plain,,CKS,images\490158_01_eldodeep-t-shirt-met-driekwart-mouwen.jpg
50090805020101,casual,,slim-bottoms,,plain,,BRAX,images\500908_05_63d859d072680d0011081d7b.jpg
50484701030101,feminine,,,,leaf,,Kocca,images\504847_01_P23PAB9339AAFA2746_F6090_01.jpg
48960101020101,casual,,slim-bottoms,,bleached,ripped,Scotch & Soda,images\489601_01_62b20406bf0078001120adc7.jpg
48759802040101,casual,bodycon-tops,,straight-sleeve,marled,,Marc Cain,images\487598_02_62e69d1084914a0012e3ec97.jpg
49334501080101,casual,,skinny-bottoms,,bleached,,Tom Tailor,images\493345_01_602575fa98e9a60011b44fe2.jpg
51147902040101,casual,oversized-tops,,straight-sleeve,quilted,,Milestone,images\511479_02_64beabb7cca094001123cf30.jpg
50268701060101,casual,,slim-bottoms,,,,Xandres Gold,images\502687_01_81949-01-6130_01.jpg
48810901050101,casual,regular-fit-tops,,straight-sleeve,,,Rabe,images\488109_01_61e593f704518b0011259a48.jpg
50502102020101,casual,oversized-tops,,,marled,,Pepe Jeans,images\505021_02_Schermafbeelding-2023-04-26-131726.jpg
48799601050101,casual,regular-fit-tops,,straight-sleeve,horizontal-stripes,,GERRY WEBER EDITION,images\487996_01_62857cdf80c7f500112f7a2c.jpg
49833301040101,feminine,,,,abstract; brush-stroke,,Gigue,images\498333_01_21-223-kinly-317-b-63b6f0e2edec8.jpg
48999502020101,casual,regular-fit-tops,,straight-sleeve,quilted,drawstring,VERO MODA,images\489995_02_6175f8a5aca7390011445b7d.jpg
47750901050101,feminine,,,,vertical-stripes,pleated,GERRY WEBER,images\477509_01_618b15050f926800115d7e10.jpg
47984801020101,casual,oversized-tops,,dolman-sleeve,chevron; geometric; shapes,,Nümph,images\479848_01_701395-9001_700x.jpg
48549801020101,feminine,,,straight-sleeve,brocade; plain,ruched,Kocca,images\485498_01_P22PAB6761AAUN0000_74097.jpg
49564705020101,casual,,slim-bottoms,,plain,,BRAX,images\495647_05_62b6f5e6982c5900116fb5bc.jpg
50922501020101,casual,regular-fit-tops,,straight-sleeve,geometric; shapes,,ONLY,images\509225_01_6347bde52c23650011633cc5.jpg
50173301020101,casual,,,straight-sleeve,leaf,,CKS,images\501733_01_insta-blouse-korte-mouwen.jpg
43429208040101,casual,,,,plain,,Caroline Biss,images\434292_08_1e22afd34075491eb580a701bd02b482_1000x1000.jpg
48088901070101,feminine,,,straight-sleeve,chevron,,ONLY Carmakoma,images\480889_01_614d37cf278c0f0011a1e356.jpg
51021801050101,casual,regular-fit-tops,,straight-sleeve,glitter,,Joseph Ribkoff,images\510218_01_234186-4180-2-WEB.jpg
49838001030101,casual,fitted-tops,,,fruits,,Bloomings,images\498380_01_SLT275-8075_01C4.jpg
50198601050101,casual,regular-fit-tops,,,animals; fruits,,Bianca,images\501986_01_636ac815ebb4580010eeb8e4.jpg
49174901050101,feminine,,,straight-sleeve,geometric,keyhole,Xandres Gold,images\491749_01_90032-01-8525_01.jpg
51138902030101,casual,regular-fit-tops,,straight-sleeve,abstract,,King Louie,images\511389_02_08380806_1.jpg
49108101040101,casual,regular-fit-tops,,puff-sleeve,vertical-stripes,,Caroline Biss,images\491081_01_4240-32.jpg
49812801040101,feminine,,,,plain,pleated,Terre Bleue,images\498128_01_11-223-445-744_D.jpg
48928301020101,casual,regular-fit-tops,,straight-sleeve,plain,drawstring,Guess,images\489283_01_W2YH10_WD8G2_G7HC_1.jpg
47994601030101,casual,,flare-bottoms,,gingham,,SELECTED FEMME,images\479946_01_607070b70cbb3d00104cba61.jpg
49460601030101,casual,,,straight-sleeve,stripes,pleated,FAM the label,images\494606_01_JODY_dark-blue-and-camel.jpg
48130801040101,casual,oversized-tops,,dolman-sleeve,stripes; vertical-stripes,buttons,Liu Jo Denim,images\481308_01_8050885999120---WA2529T3073C3043-I-AF-N-R-01-N.jpg
50261401020101,casual,oversized-tops,,puff-sleeve,,,Xandres,images\502614_01_28807-01-6130_01.jpg
48211105080101,casual,,slim-bottoms,,plain,,Doris Streich,images\482111_05_6386abb8e0e05d00110c3b61.jpg
49607101020101,casual,oversized-tops,,straight-sleeve,vertical-stripes,,ESPRIT,images\496071_01_6306d979f578880013c0ccbc.jpg
50669501040101,casual,regular-fit-tops,,straight-sleeve,animal-print; zebra,,Marc Cain Sports,images\506695_01_64985b44aabdc700117051cb.jpg
48741502040101,casual,,,,vertical-stripes,,Marc Cain,images\487415_02_61a45cacdaeb0f0011f600d2.jpg
50391201080101,casual,,,,plain,drawstring,Verpass,images\503912_01_2957-1.jpg
48353401020101,casual,oversized-tops,,,,,Xandres,images\483534_01_28453-01-6290_01.jpg
51172003020101,casual,oversized-tops,,puff-sleeve,,,Xandres,images\511720_03_28921-01-0040_01.jpg
50538601040101,casual,regular-fit-tops,,straight-sleeve,,,LeComte,images\505386_01_63c5142444f7e40010238575.jpg
51291101080101,casual,oversized-tops,,straight-sleeve,stripes; vertical-stripes,,Verpass,images\512911_01_3065-091.jpg
51568901050101,feminine,,straight-fit-bottoms,,plain,,GERRY WEBER,images\515689_01_64f7f2f3201f7c0010b67d5b.jpg
49791501110101,casual,regular-fit-tops,,straight-sleeve,chevron; quilted,zipper,HOX Italia,images\497915_01_449248-1.jpg
47935101020101,casual,,,straight-sleeve,floral; leaf; natural,belted,ONLY,images\479351_01_6171877df9857e0011dae3ef.jpg
48639401050101,casual,oversized-tops,,,,,Xandres Gold,images\486394_01_ESS067-01-0040_01.jpg
49958901020101,casual,,oversized-bottoms,,plain,,Hampton Bays,images\499589_01_SU23-lookbook-portrait-zonder10.jpg
50496701030101,feminine,oversized-tops,,dolman-sleeve,floral; leaf,,Scotch & Soda,images\504967_01_63a07c4d8ffa20001000a1c5.jpg
48122101030101,casual,,skinny-bottoms,,bleached; plain,buttons,Liu Jo,images\481221_01_8050885695732---UA2013D418878158-I-AR-N-R-02-N.jpg
50267401060101,casual,,slim-bottoms,,marled,,Xandres Gold,images\502674_01_81949-01-1840_01.jpg
48788501050101,casual,regular-fit-tops,,straight-sleeve,chevron,,GERRY WEBER,images\487885_01_62687b9bd8be0d00112c063d.jpg
48121901030101,casual,,slim-bottoms,,bleached,,Liu Jo,images\481219_01_8050885690539---UA2006D453878287-I-AF-N-B-01-N.jpg
48039201040101,casual,regular-fit-tops,,straight-sleeve,plain,buttons,Gigue,images\480392_01_21-222-HATOU-552_B.jpg
50604701050101,casual,,,,,pleated,Mayerline,images\506047_01_loving-my-lavender-look.jpg
26938901020101,casual,,slim-bottoms,,,,TONI,images\269389_01_56654.jpg
48724201050101,feminine,,,,brush-stroke,,GERRY WEBER,images\487242_01_624637be36049b0010d141da.jpg
51108501040101,casual,,slim-bottoms,,plain,,Terre Bleue,images\511085_01_11-423-499-575-b-648adb42029c4.jpg
50795101030101,casual,,,,floral,belted,Vera Mont,images\507951_01_646517bd200b4d00113c7196.jpg
48799701050101,business,regular-fit-tops,,straight-sleeve,vertical-stripes,buttons,GERRY WEBER EDITION,images\487997_01_6271c4e5eee21f0011d5128e.jpg
50914201070101,casual,oversized-tops,,straight-sleeve,animal-print,,ONLY Carmakoma,images\509142_01_636c5f3955786c00111990e9.jpg
49016801030101,casual,,,,leaf,,CKS,images\490168_01_sawina-midirok-1.jpg
48614501030101,feminine,,,,abstract; plain,ruffled,River Woods,images\486145_01_rl22s-c6001_b-000_mo_d9.jpg
48349801030101,business,regular-fit-tops,,straight-sleeve,graph-check,buttons,Xandres,images\483498_01_13987-01-0941_01.jpg
50306901030101,feminine,,,straight-sleeve,floral,,King Louie,images\503069_01_08057651_1.jpg
50673101040101,feminine,,,straight-sleeve,,,Marc Cain Sports,images\506731_01_64f4a39ccf8ea000117a880c.jpg
48303601020101,casual,,straight-fit-bottoms,,,,Cambio,images\483036_01_6229c8d810bc710010faf55a.jpg
49882501040101,feminine,,,,plain,,Julia June,images\498825_01_123-babe-217-0535-123-babe-217-0535-image_1-123-babe-217-0535_1.jpg
48806501040101,casual,bodycon-tops,,straight-sleeve,animals; shapes,drawstring,LeComte,images\488065_01_61e9a4136f6282001142aa61.jpg
48350401030101,feminine,,,straight-sleeve,stripes; vertical-stripes,belted,Xandres,images\483504_01_13968-01-0945_01.jpg
49250001030101,casual,regular-fit-tops,,straight-sleeve,dots; shapes,,King Louie,images\492500_01_07352072_4.jpg
50925701010101,casual,,straight-fit-bottoms,,,zipper,BRAX,images\509257_01_64b99c0250e15f0010c673d4.jpg
45671204040101,casual,oversized-tops,,puff-sleeve,plain,,Caroline Biss,images\456712_04_cb88c525f289429e977dcd55d170272e_1000x1000.jpg
50946801030101,business,regular-fit-tops,,straight-sleeve,glen-check,buttons; cargo,Kocca,images\509468_01_456769-1.jpg
50920403020101,casual,oversized-tops,,puff-sleeve,vertical-stripes,,ONLY,images\509204_03_6335559be3850700110231e0.jpg
50311101040101,casual,,,,,pleated,King Louie,images\503111_01_07797301_2.jpg
46086704040101,casual,regular-fit-tops,,straight-sleeve,bird's-eye,buttons,Street One,images\460867_04_620b428f0cccac001143475a.jpg
50061601040101,casual,oversized-tops,,,,,Marc Cain,images\500616_01_638cbb60ba59ac00116991d9.jpg
49181601030101,casual,,straight-fit-bottoms,,tartan; windowpane,,Xandres,images\491816_01_14066-01-0046_01.jpg
50339101040101,casual,,,,chevron,,Caroline Biss,images\503391_01_03-27c.jpg
51164801020101,casual,oversized-tops,,puff-sleeve,marled,,Xandres,images\511648_01_28839-01-0186_01.jpg
51065201030201,feminine,,slim-bottoms,,houndstooth,,Cambio,images\510652_01_64413757692bb200115a00bc.jpg
50359901010101,casual,,,,plain,fringe,Herzen's Angelegenheit,images\503599_01_5000_5000_437429.jpg
49761302050101,casual,regular-fit-tops,,straight-sleeve,plain,,GERRY WEBER,images\497613_02_6363188f15252c001177888c.jpg
48027401030101,casual,,slim-bottoms,,plain,,Scotch & Soda,images\480274_01_61efe6c6f2beee001581e465.jpg
47765701030101,casual,,,,plain,,Taifun,images\477657_01_5fd193fd3c004700104401cb.jpg
51215501020101,casual,bodycon-tops,,,vertical-stripes,,VERO MODA,images\512155_01_62cedcbb1aa5800011a483b3.jpg
50610003050101,casual,,slim-bottoms,,,,TONI,images\506100_03_63216480335cb30012ed9954.jpg
49388801030101,casual,bodycon-tops,,,plain,keyhole,ESPRIT,images\493888_01_61ff2cf26cd07e00114806d5.jpg
50088301100301,casual,,straight-fit-bottoms,,vertical-stripes,drawstring,Street One,images\500883_01_637ce4f05982a40011ed635e.jpg
49821001040101,feminine,,,,floral; leaf,,Terre Bleue,images\498210_01_11-223-638-63-010_F.jpg
46067702020101,bohemian,,straight-fit-bottoms,,marled,,BRAX,images\460677_02_742207_9850920_54_1.jpg
48730001050101,casual,fitted-tops,,straight-sleeve,bleached,buttons; cargo,Betty Barclay,images\487300_01_62631b75e18940001361b77b.jpg
49865101040101,casual,,straight-fit-bottoms,,plain,cargo,Betty Barclay,images\498651_01_6348de4c3b4fd200111ca02f.jpg
50210303080101,casual,regular-fit-tops,,,plain,knotted,Via Appia Due,images\502103_03_63c6617c1548720010d2aee6.jpg
49594702040101,casual,regular-fit-tops,,,plain,,Betty Barclay,images\495947_02_6348dda569c3f20010c541df.jpg
49242301050101,casual,regular-fit-tops,,straight-sleeve,windowpane,drawstring,GERRY WEBER EDITION,images\492423_01_632a4d9b3714d40011c2cdf1.jpg
50833501080101,casual,oversized-tops,,straight-sleeve,checkerboard,,Doris Streich,images\508335_01_6440cae500d8220010e4aff7.jpg
49019601030101,casual,,straight-fit-bottoms,,plain; text-print,drawstring,CKS,images\490196_01_taranto-wide-leg-fit-lange-broek.jpg
51620501030101,feminine,,,straight-sleeve,leaf,,Caroline Biss,images\516205_01_4117-49.jpg
50221201040101,casual,,wide-bottoms,,bleached,ripped,Fabienne Chapot,images\502212_01_636e8f022f599400105e835a.jpg
48534101060101,casual,,straight-fit-bottoms,,bleached,,TONI,images\485341_01_624d435b8ba02e0012fa6ec1.jpg
51566701050101,modest,fitted-tops,,straight-sleeve,vertical-stripes,,GERRY WEBER,images\515667_01_64dc0906a53de00011d4e216.jpg
48689201050101,casual,bodycon-tops,,,plain,,Joseph Ribkoff,images\486892_01_61eda8187e458400159825c9.jpg
45960502050101,casual,,slim-bottoms,,plain,,GERRY WEBER EDITION,images\459605_02_63b37b426b79dd0011264c63.jpg
48457203110101,casual,,,,plain,,TONI,images\484572_03_62a969dcc3d09600103fbe9d.jpg
49438603020101,casual,,skinny-bottoms,,plain,,Hampton Bays,images\494386_03_WI22-lookbook-portrait-zonder15.jpg
49767701050101,feminine,,,straight-sleeve,leaf,,GERRY WEBER EDITION,images\497677_01_63b37b3a8dc372001169a8f2.jpg
51179301020101,casual,oversized-tops,,straight-sleeve,bird's-eye,,Xandres,images\511793_01_28828-01-1231_01.jpg
50638001050101,casual,,slim-bottoms,,vertical-stripes,,Bianca,images\506380_01_6452d5f8a6d9e000118fc8f7.jpg
49107702040101,casual,regular-fit-tops,,straight-sleeve,vertical-stripes,,Caroline Biss,images\491077_02_4230-36.jpg
50056601040101,casual,,oversized-bottoms,,plain,drawstring,Marc Cain Sports,images\500566_01_63fb7ca7c4898900115c1b8e.jpg
50924502010101,casual,,slim-bottoms,,marled,,BRAX,images\509245_02_64f1017a86235e001139cc1b.jpg
49075401070101,feminine,,straight-fit-bottoms,,plain,,Part Two,images\490754_01_4de13c8e-d09d-49aa-a309-cfc52dc25009.jpg
51314701050101,business,regular-fit-tops,,straight-sleeve,vertical-stripes,buttons; cargo,Rabe,images\513147_01_63c6950b963635001153d5d8.jpg
49843001040101,casual,,straight-fit-bottoms,,plain,,Nümph,images\498430_01_632c5e291e118c0011869b00.jpg
48801901050101,casual,oversized-tops,,,bird's-eye,,GERRY WEBER EDITION,images\488019_01_6271c53df02adf0010cc9958.jpg
50000201080101,casual,,skinny-bottoms,,plain,,Doris Streich,images\500002_01_6386ab80cae9c900102a0845.jpg
50965501050101,casual,regular-fit-tops,,straight-sleeve,leaf; zebra,embroidered,Rabe,images\509655_01_63dcddd52be2dc001025a0b4.jpg
48088101030101,casual,oversized-tops,,straight-sleeve,vertical-stripes,,Pepe Jeans,images\480881_01_PL701812_568_01_FL.jpg
49102401030101,casual,,,,plain,,CKS,images\491024_01_wimbledon-a-lijn-lange-jurk.jpg
